feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
1.0,0.2765826674861709,0.037142857142857144,1.0,1.0,1.0,1.0,0.22807017543859648,1.0,1.0,0.0,1.0,1.0,0.082,0.31285,1.0
2.0,0.4890903503380455,0.4642857142857143,1.0,1.0,2.0,2.0,0.1812280701754386,1.0,2.0,0.225,1.0,1.0,0.0,0.0,1.0
1.0,0.6362937922556853,0.6607142857142857,1.0,1.0,3.0,2.0,0.5263157894736842,1.0,2.0,0.425,1.0,1.0,0.0,0.0,1.0
1.0,0.4134910878918254,0.037142857142857144,1.0,1.0,4.0,3.0,0.17543859649122806,1.0,2.0,0.15,1.0,1.0,0.25,0.1,1.0
1.0,0.5275046097111248,0.27089285714285716,1.0,1.0,2.0,2.0,0.26614035087719295,1.0,2.0,0.375,1.0,1.0,0.0,0.05,1.0
1.0,0.6055623847572218,0.33625,1.0,1.0,5.0,4.0,0.5057894736842105,1.0,2.0,0.275,1.0,1.0,0.015,0.003,1.0
1.0,0.6338352796558082,1.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.00015,1.0
2.0,0.39689612784265516,0.07285714285714286,2.0,2.0,7.0,1.0,0.0043859649122807015,1.0,2.0,0.575,1.0,1.0,0.2275,0.01236,1.0
1.0,0.3073140749846343,0.16071428571428573,1.0,1.0,8.0,1.0,0.20175438596491227,2.0,1.0,0.0,1.0,2.0,0.3555,0.0,1.0
1.0,0.2636754763368162,0.26785714285714285,1.0,1.0,9.0,2.0,0.055614035087719296,1.0,1.0,0.0,1.0,2.0,0.21,0.0,0.0
1.0,0.30208973570989545,0.14285714285714285,1.0,1.0,3.0,2.0,0.43859649122807015,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2.0,0.3597111247695144,0.17857142857142858,1.0,1.0,10.0,3.0,0.47368421052631576,1.0,1.0,0.0,1.0,1.0,0.49,0.0,0.0
1.0,0.44683466502765823,0.017857142857142856,1.0,1.0,11.0,3.0,0.37719298245614036,1.0,1.0,0.0,2.0,2.0,0.2,0.0,0.0
1.0,0.45574677320221263,0.25,2.0,2.0,6.0,3.0,0.05701754385964912,2.0,1.0,0.0,2.0,1.0,0.08,2e-05,0.0
1.0,0.08451137062077446,0.18892857142857142,1.0,1.0,7.0,3.0,0.013157894736842105,1.0,2.0,0.025,2.0,1.0,0.08,0.0,0.0
1.0,0.29056545789797167,0.23214285714285715,1.0,1.0,12.0,3.0,0.0043859649122807015,1.0,1.0,0.0,1.0,1.0,0.2215,0.0,0.0
2.0,0.061462814996926886,0.02089285714285714,2.0,2.0,12.0,3.0,0.020526315789473684,1.0,1.0,0.0,1.0,1.0,0.08,0.0,0.0
1.0,0.09987707437000617,0.041607142857142856,2.0,2.0,13.0,3.0,0.08771929824561403,1.0,2.0,0.025,2.0,1.0,0.09,0.0002,0.0
1.0,0.09726490473263676,0.3482142857142857,1.0,1.0,6.0,3.0,0.008771929824561403,1.0,1.0,0.0,2.0,1.0,0.07,0.0,0.0
1.0,0.5287338660110633,0.6785714285714286,1.0,1.0,5.0,4.0,0.0,1.0,2.0,0.025,2.0,1.0,0.047,0.0,0.0
2.0,0.19207129686539648,0.05357142857142857,1.0,1.0,11.0,3.0,0.07017543859649122,1.0,1.0,0.0,2.0,2.0,0.184,0.0,0.0
1.0,0.37891825445605404,0.017857142857142856,1.0,1.0,11.0,3.0,0.008771929824561403,1.0,1.0,0.0,2.0,2.0,0.144,0.0,0.0
2.0,0.11524277811923789,0.125,1.0,1.0,3.0,3.0,0.10526315789473684,1.0,1.0,0.0,1.0,1.0,0.15,0.0,0.0
1.0,0.1856177012907191,0.022321428571428572,1.0,1.0,12.0,3.0,0.015964912280701755,1.0,1.0,0.0,1.0,1.0,0.1,0.0,0.0
1.0,0.33804548248309774,0.14285714285714285,1.0,1.0,6.0,2.0,0.17543859649122806,1.0,1.0,0.0,1.0,2.0,0.14,0.0,0.0
1.0,0.11524277811923789,0.013392857142857142,1.0,1.0,3.0,3.0,0.03070175438596491,1.0,1.0,0.0,1.0,2.0,0.464,0.0,0.0
1.0,0.16133988936693303,0.07892857142857143,2.0,2.0,12.0,3.0,0.14035087719298245,1.0,1.0,0.0,2.0,1.0,0.094,0.0,0.0
1.0,0.2893362015980332,0.16071428571428573,1.0,1.0,12.0,3.0,0.03508771929824561,1.0,1.0,0.0,1.0,1.0,0.12,0.0,0.0
2.0,0.5198217578365089,0.05357142857142857,1.0,1.0,14.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.05,0.00027,0.0
1.0,0.7272587584511371,0.45535714285714285,2.0,2.0,6.0,1.0,0.17543859649122806,1.0,1.0,0.0,2.0,1.0,0.056,0.0,0.0
1.0,0.24969268592501537,0.5535714285714286,1.0,1.0,6.0,3.0,0.017543859649122806,1.0,1.0,0.0,2.0,1.0,0.06,0.0,0.0
1.0,0.11524277811923789,0.17857142857142858,2.0,2.0,12.0,3.0,0.2982456140350877,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
1.0,0.5709895513214505,0.049107142857142856,2.0,2.0,6.0,1.0,0.3319298245614035,1.0,1.0,0.0,1.0,1.0,0.1,0.001,0.0
1.0,0.2086662569145667,0.05357142857142857,2.0,2.0,6.0,3.0,0.05263157894736842,1.0,1.0,0.0,1.0,1.0,0.0,0.00225,0.0
2.0,0.2060540872771973,0.12642857142857142,1.0,1.0,2.0,2.0,0.017543859649122806,1.0,1.0,0.0,1.0,1.0,0.0855,0.0,0.0
1.0,0.12031346035648433,0.022321428571428572,2.0,2.0,12.0,3.0,0.0043859649122807015,1.0,1.0,0.0,2.0,1.0,0.09,1e-05,0.0
1.0,0.11524277811923789,0.017857142857142856,1.0,1.0,6.0,2.0,0.029298245614035087,1.0,1.0,0.0,1.0,2.0,0.16,0.0,0.0
2.0,0.11263060848186847,0.39285714285714285,2.0,2.0,7.0,3.0,0.10526315789473684,1.0,1.0,0.0,1.0,1.0,0.134,0.0,0.0
