feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27
2.0,1.0,1.0,0.6326530612244903,0.23376623376623376,0.21839080459770116,3.0,3.0,1.0,2.0,5.0,4.0,4.0,2.0,1.0,0.13333333333333333,3.0,5.0,0.5774647887323944,0.05950991831971996,2.0,0.14285714285714285,2.0,2.0,1.0,2.0,1.0,0.0
1.0,1.0,2.0,0.7755102040816337,0.37662337662337664,0.12643678160919541,3.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,0.13333333333333333,4.0,2.0,0.647887323943662,0.9533255542590432,2.0,0.14285714285714285,3.0,2.0,2.0,1.0,1.0,0.0
1.0,2.0,3.0,0.7551020408163274,0.8701298701298701,0.8620689655172413,4.0,1.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,0.5333333333333333,3.0,5.0,0.6197183098591549,0.045507584597432905,3.0,0.6142857142857142,2.0,1.0,2.0,1.0,1.0,1.0
2.0,1.0,4.0,0.38775510204081615,0.4805194805194805,0.2988505747126437,3.0,1.0,6.0,2.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.9859154929577465,0.04784130688448075,2.0,0.14285714285714285,2.0,2.0,3.0,1.0,1.0,0.0
2.0,1.0,5.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,0.13333333333333333,3.0,3.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,6.0,0.5102040816326532,0.11688311688311688,0.08045977011494253,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.13333333333333333,3.0,5.0,0.4647887323943662,0.043173862310385065,2.0,0.14285714285714285,1.0,1.0,5.0,1.0,1.0,0.0
1.0,1.0,7.0,0.5306122448979597,0.19480519480519481,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,0.13333333333333333,3.0,4.0,0.5633802816901409,0.05834305717619604,2.0,0.14285714285714285,2.0,1.0,2.0,1.0,1.0,0.0
2.0,1.0,8.0,0.5306122448979597,0.3246753246753247,0.3103448275862069,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,0.13333333333333333,3.0,5.0,0.4788732394366197,0.033838973162193704,2.0,0.14285714285714285,3.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,9.0,0.7551020408163274,0.2727272727272727,0.4942528735632184,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.13333333333333333,4.0,4.0,0.647887323943662,0.052508751458576426,2.0,0.14285714285714285,1.0,1.0,7.0,1.0,1.0,0.0
1.0,1.0,10.0,0.36734693877551117,0.07792207792207792,0.034482758620689655,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.043173862310385065,2.0,0.14285714285714285,1.0,2.0,8.0,1.0,1.0,0.0
